t,v,i
0,0.4518377,2.157707
7.49400613755306E-11,0.454004,2.160659
1.74860143207313E-10,0.4567357,2.164714
3.74700306870877E-10,0.4616675,2.173105
5.92981214434326E-10,0.466171,2.182574
7.96509165721992E-10,0.4692851,2.191609
1.00478544329084E-09,0.4712515,2.200916
1.21375948525303E-09,0.4718873,2.210124
1.51595693871217E-09,0.4708347,2.222929
1.85957025060869E-09,0.4676838,2.236371
2.36815352212737E-09,0.4613352,2.254311
2.62588769528633E-09,0.4581006,2.262463
2.83132575823025E-09,0.4559586,2.268362
3.02549889353397E-09,0.4545874,2.273623
3.2424077549067E-09,0.4538956,2.279284
3.44426057211642E-09,0.4541849,2.28447
3.73192799236596E-09,0.4560691,2.291939
4.04765424712414E-09,0.4597483,2.300537
4.47640410055475E-09,0.4664586,2.313167
4.91747353174009E-09,0.4740453,2.327266
5.17602301434484E-09,0.4782889,2.336104
5.38068191789455E-09,0.4811795,2.343405
5.57641468165547E-09,0.4833934,2.350527
5.77896242471898E-09,0.4850667,2.35795
5.98329400843919E-09,0.4860682,2.365404
6.23738068252698E-09,0.4863982,2.374493
6.55262962777177E-09,0.4857031,2.385321
6.95797345807373E-09,0.4837508,2.398467
7.24928778149321E-09,0.4820093,2.407315
7.47897683564999E-09,0.4806834,2.413866
7.6840602520619E-09,0.4797478,2.419442
7.88381379008608E-09,0.4791839,2.424684
8.08980783516342E-09,0.479044,2.429954
8.31896016227176E-09,0.479485,2.43574
8.62028739159415E-09,0.4809456,2.443369
8.96744870451871E-09,0.4836366,2.452377
9.41418930527573E-09,0.4880439,2.464451
9.78003610014078E-09,0.491928,2.47478
1.00271279106305E-08,0.4944299,2.482014
1.02523602324645E-08,0.4964198,2.488756
1.04650010182491E-08,0.4979585,2.495188
1.06686530870261E-08,0.499074,2.501359
1.08753676052875E-08,0.4998351,2.507588
1.10833532589234E-08,0.5002117,2.513762
1.13811696298497E-08,0.5002088,2.522366
1.17348396810722E-08,0.4997017,2.532198
1.20611856173256E-08,0.4989798,2.540872
1.22987890969315E-08,0.4984495,2.546919
1.2508802942645E-08,0.4980976,2.552076
1.2712727993119E-08,0.4979375,2.556952
1.29199521117887E-08,0.4980196,2.561806
1.31818923068785E-08,0.4985041,2.56786
1.349120292836E-08,0.4995897,2.574983
1.38671813079679E-08,0.5015214,2.583722
1.43218427054406E-08,0.5043594,2.594497
1.46743900872958E-08,0.506674,2.603038
1.49400278128129E-08,0.5083137,2.609588
1.51905319767577E-08,0.5096469,2.615822
1.54328634789601E-08,0.5106907,2.621863
1.5643049141641E-08,0.5113722,2.627079
1.58474426875628E-08,0.5118256,2.632103
1.60523048016518E-08,0.5120901,2.637067
1.62691917582884E-08,0.5121838,2.642211
1.65921216675082E-08,0.5121053,2.649662
1.68885323795878E-08,0.5119233,2.65629
1.71341698344935E-08,0.511762,2.661608
1.73537574346616E-08,0.5116781,2.666231
1.75757492075837E-08,0.5117118,2.670796
1.78630512788062E-08,0.5119703,2.676588
1.81798639553697E-08,0.5125534,2.682884
1.85637657415476E-08,0.5136451,2.690463
1.89976373641708E-08,0.5152146,2.699052
1.96071756891291E-08,0.5175957,2.7112
1.99353646914368E-08,0.5187894,2.717775
2.02056196159518E-08,0.5196052,2.723187
2.04829522468348E-08,0.5202425,2.728699
2.07613230406308E-08,0.5206809,2.734159
2.10308338734814E-08,0.5209236,2.739345
2.1318138706038E-08,0.5210249,2.744742
2.16125030126361E-08,0.5210235,2.75012
2.18943893611279E-08,0.5209835,2.755116
2.22103829544225E-08,0.5209727,2.760544
2.25610993408291E-08,0.5210802,2.766394
2.29255798539693E-08,0.5213838,2.772319
2.33328852511326E-08,0.5219685,2.778812
2.37871487072412E-08,0.52285,2.785963
2.43689853064495E-08,0.5241158,2.795052
2.47099751231648E-08,0.5248217,2.800341
2.50544058049554E-08,0.5254105,2.805628
2.54140670078817E-08,0.5258472,2.81106
2.57952784045225E-08,0.5261046,2.81668
2.62001543332958E-08,0.5261836,2.822452
2.66452927386054E-08,0.5261315,2.828552
2.70319355423842E-08,0.5260524,2.833631
2.74212524213239E-08,0.5260233,2.838535
2.78704079853569E-08,0.5261179,2.843986
2.83455901284617E-08,0.5263776,2.849567
2.888733564801E-08,0.5268022,2.855742
2.9584189155986E-08,0.5273653,2.863476
2.99858358939392E-08,0.5276059,2.86781
3.03782780569104E-08,0.5277002,2.8719
3.08570615227328E-08,0.5276361,2.876685
3.13700550505066E-08,0.5274043,2.881521
3.20381295215694E-08,0.5269888,2.887411
3.24928559867952E-08,0.5267148,2.89115
3.29878528674413E-08,0.5264882,2.894945
3.35953878523839E-08,0.526305,2.899325
3.42464282339927E-08,0.5261405,2.903732
3.48798122100179E-08,0.5259107,2.907743
3.53903808928464E-08,0.525597,2.910737
3.59608412603414E-08,0.5250777,2.913775
3.65977397784446E-08,0.5243484,2.916749
3.74870860167738E-08,0.523234,2.920276
3.81626526196533E-08,0.5224006,2.922482
3.88933792851193E-08,0.52153,2.924384
3.96561594804563E-08,0.5205905,2.925942
4.02989791964414E-08,0.5196978,2.926896
4.09406513109052E-08,0.5186571,2.927451
4.1756362035207E-08,0.5171596,2.927588
4.26604445285381E-08,0.5153857,2.927088
4.3349749684373E-08,0.514003,2.926198
4.42109658131696E-08,0.5122476,2.924467
4.51322940380939E-08,0.510283,2.922007
4.59024543394447E-08,0.5085036,2.919402
4.67890815505509E-08,0.5062749,2.915722
4.77688832733795E-08,0.5036653,2.910897
4.86453540404135E-08,0.5012505,2.905864
4.96915154028069E-08,0.4982805,2.89899
5.08089245035511E-08,0.4949628,2.890741
5.18056763311686E-08,0.4918125,2.882473
5.3145380770669E-08,0.4873258,2.87003
5.45368813055294E-08,0.482464,2.855662
5.59479166528747E-08,0.4773264,2.839547
5.74159332863613E-08,0.4717158,2.821181
5.88474404964845E-08,0.4659651,2.801675
6.04000629505403E-08,0.4594688,2.778763
6.19947923696835E-08,0.4525537,2.753421
6.36831548251689E-08,0.444926,2.724565
6.56831548251699E-08,0.4355139,2.687944
6.74936354349011E-08,0.4266865,2.652534
0.000000071,0.4088136,2.578151
7.30000000000008E-08,0.3722968,2.566893
7.35259244280013E-08,0.3039999,2.625187
7.38192666581703E-08,0.1908016,2.706195
7.40815930154112E-08,0.01258331,2.792776
7.432151014763E-08,-0.2074248,2.859218
7.45201657355609E-08,-0.4209485,2.897248
7.461352112173E-08,-0.5293293,2.904866
7.48002318940681E-08,-0.7502476,2.897406
7.50000000000018E-08,-0.9761233,2.859783
7.51917374045096E-08,-1.167738,2.784439
7.53352904728577E-08,-1.282062,2.696845
7.5436751323172E-08,-1.339481,2.61722
7.55082738386145E-08,-1.365079,2.552807
7.55590512079707E-08,-1.374764,2.503024
7.55951138414545E-08,-1.377011,2.465476
7.56208825089142E-08,-1.37605,2.437255
7.56425590794666E-08,-1.373391,2.412143
7.56675043725173E-08,-1.368286,2.381112
7.56921326548071E-08,-1.361023,2.347648
7.57188487295704E-08,-1.350304,2.307713
7.57477158522045E-08,-1.334702,2.260185
7.57910052853489E-08,-1.303624,2.182406
7.58360640649799E-08,-1.260143,2.094899
7.59023214067866E-08,-1.175799,1.95733
7.5962566621328E-08,-1.077819,1.825361
7.60234149864116E-08,-0.9585237,1.686713
7.6048064678689E-08,-0.9032837,1.629059
7.60741620717243E-08,-0.8387274,1.566856
7.6101926520149E-08,-0.7649186,1.499873
7.61317055052875E-08,-0.679661,1.427333
7.6166695588052E-08,-0.5711671,1.341552
7.62108528365071E-08,-0.4215291,1.233144
7.62670208444078E-08,-0.2107707,1.096301
7.63410909607948E-08,0.1020324,0.9205284
7.64437627848404E-08,0.5990922,0.6931604
7.65974882197996E-08,1.449906,0.3963377
7.67487391322459E-08,2.386827,0.1678038
7.68915131715683E-08,3.345571,0.02798565
7.70328378420031E-08,4.334155,-0.02924925
7.71756647331084E-08,5.335588,-0.000760736
7.73564714758856E-08,6.55537,0.142203
7.75451701289327E-08,7.723527,0.3875951
7.77320690487182E-08,8.728418,0.6984045
7.79236168890244E-08,9.567424,1.041407
7.81457388057535E-08,10.30522,1.40234
7.84018699473893E-08,10.91893,1.694404
7.86703434209037E-08,11.42157,1.782157
7.90122706288053E-08,12.10085,1.578553
7.9306667229822E-08,12.89751,1.189131
7.95147814257831E-08,13.67314,0.8372786
7.96772578896457E-08,14.43582,0.5665292
7.98306723122231E-08,15.26894,0.3528082
7.99809204137031E-08,16.1632,0.2066387
8.01461522337032E-08,17.19784,0.1279404
8.02972012979034E-08,18.15386,0.1377101
8.04840131130694E-08,19.30242,0.2454646
8.06689238561148E-08,20.36036,0.4246658
8.08626739634152E-08,21.35073,0.6539431
8.10611405476399E-08,22.23548,0.8847386
8.12371657600276E-08,22.91896,1.047986
8.14054857639755E-08,23.50551,1.138039
8.15724846440152E-08,24.06196,1.144256
8.17801526687086E-08,24.76893,1.052308
