t,i
0,2.15771
2.36815e-09,2.25431
4.4764e-09,2.31317
7.68406e-09,2.41944
1.20612e-08,2.54087
1.62692e-08,2.64221
2.13181e-08,2.74474
2.25611e-08,2.76639
2.57953e-08,2.81668
2.66453e-08,2.82855
2.74213e-08,2.83853
2.95842e-08,2.86348
3.03783e-08,2.8719
3.13701e-08,2.88152
3.20381e-08,2.88741
3.24929e-08,2.89115
3.29879e-08,2.89494
3.35954e-08,2.89933
3.42464e-08,2.90373
3.48798e-08,2.90774
3.53904e-08,2.91074
3.59608e-08,2.91377
3.65977e-08,2.91675
3.74871e-08,2.92028
3.81627e-08,2.92248
3.88934e-08,2.92438
3.96562e-08,2.92594
4.0299e-08,2.9269
4.09407e-08,2.92745
4.17564e-08,2.92759
4.26604e-08,2.92709
4.33497e-08,2.9262
4.4211e-08,2.92447
4.51323e-08,2.92201
4.59025e-08,2.9194
4.67891e-08,2.91572
4.77689e-08,2.9109
4.86454e-08,2.90586
4.96915e-08,2.89899
5.08089e-08,2.89074
5.18057e-08,2.88247
5.31454e-08,2.87003
5.45369e-08,2.85566
5.59479e-08,2.83955
5.74159e-08,2.82118
5.88474e-08,2.80167
6.19948e-08,2.75342
6.56832e-08,2.68794
7.1e-08,2.57815
7.3e-08,2.56689
7.46135e-08,2.90487
7.48002e-08,2.89741
7.59023e-08,1.95733
7.70328e-08,-0.0292493
7.86703e-08,1.78216
8.01462e-08,0.12794
8.14055e-08,1.13804
8.15725e-08,1.14426
8.2798e-08,0.10625
8.29131e-08,0.110194
8.37707e-08,0.617079
8.46224e-08,-0.0678872
8.54306e-08,0.494413
8.6235e-08,-0.0651016
8.69248e-08,0.425332
8.69869e-08,0.426918
8.76604e-08,-0.0497282
8.83858e-08,0.363387
8.90865e-08,-0.0392504
8.97107e-08,0.307141
8.98324e-08,0.305759
9.04161e-08,-0.0212596
9.04759e-08,-0.021957
9.11463e-08,0.277156
9.17748e-08,-0.0101151
9.23651e-08,0.243855
9.24808e-08,0.247461
9.30788e-08,0.00198107
9.36419e-08,0.215998
9.37496e-08,0.223729
9.4333e-08,0.0153207
9.43977e-08,0.0127545
9.49575e-08,0.200414
9.50692e-08,0.198105
9.56409e-08,0.021579
9.57112e-08,0.0244761
9.62099e-08,0.178213
9.6327e-08,0.180791
9.68902e-08,0.0286808
9.6954e-08,0.028579
9.74607e-08,0.159348
9.75727e-08,0.165872
9.81907e-08,0.0329697
9.82696e-08,0.0378967
9.87962e-08,0.151089
9.89186e-08,0.144447
9.93839e-08,0.0403011
9.94701e-08,0.0371007
9.99535e-08,0.129337
1.00074e-07,0.137658
1.00203e-07,0.128922
1.00623e-07,0.0433577
1.00709e-07,0.0393174
1.00801e-07,0.0443447
1.01297e-07,0.125221
1.01423e-07,0.120571
1.01865e-07,0.0445925
1.0195e-07,0.0406248
1.0204e-07,0.0443192
1.02425e-07,0.105835
1.02544e-07,0.114153
1.02672e-07,0.109682
1.03137e-07,0.0430233
1.03225e-07,0.0420629
1.03345e-07,0.0506576
1.03647e-07,0.0946609
1.0376e-07,0.103238
1.03896e-07,0.100522
1.04332e-07,0.0460926
1.04431e-07,0.0416195
1.04541e-07,0.0450837
1.04991e-07,0.0935398
1.0512e-07,0.0928264
1.05551e-07,0.046563
1.05658e-07,0.0410262
1.05765e-07,0.0431219
1.06157e-07,0.0806895
1.06282e-07,0.0859724
1.06417e-07,0.0819854
1.06847e-07,0.0412406
1.06955e-07,0.039708
1.0708e-07,0.0451245
1.07403e-07,0.0739662
1.07522e-07,0.0778662
1.07671e-07,0.0733351
1.07995e-07,0.04452
1.0811e-07,0.0383867
1.08216e-07,0.0383402
1.08361e-07,0.0456557
1.0858e-07,0.0632623
1.08707e-07,0.0695918
1.08838e-07,0.0690912
1.09008e-07,0.0598566
1.09291e-07,0.0380547
1.09403e-07,0.0355012
1.09529e-07,0.0383089
1.09861e-07,0.0597939
1.09988e-07,0.0631708
1.10133e-07,0.0601612
1.10474e-07,0.0376935
1.10594e-07,0.0333319
1.10707e-07,0.0339074
1.10868e-07,0.0407619
1.11114e-07,0.0542118
1.11247e-07,0.0564568
1.11392e-07,0.0530653
1.11711e-07,0.0342247
1.11834e-07,0.0304755
1.1195e-07,0.0311598
1.12116e-07,0.0374358
1.12244e-07,0.0439018
1.12369e-07,0.0488068
1.12504e-07,0.0499144
1.12655e-07,0.0460156
1.12958e-07,0.0302615
1.13081e-07,0.0273373
1.13201e-07,0.0282566
1.13348e-07,0.0332593
1.13471e-07,0.0386351
1.13595e-07,0.0428778
1.1373e-07,0.0439035
1.13881e-07,0.0405663
1.14188e-07,0.0267307
1.14313e-07,0.0241644
1.14433e-07,0.0249468
1.14578e-07,0.0291607
1.14699e-07,0.0337139
1.14824e-07,0.0373074
1.14959e-07,0.0381124
1.15111e-07,0.0351331
1.15417e-07,0.0230792
1.15542e-07,0.0208503
1.15663e-07,0.021506
1.15806e-07,0.0250353
1.15926e-07,0.0288825
1.1605e-07,0.031923
1.16184e-07,0.0325817
1.16335e-07,0.0299901
1.16641e-07,0.0194819
1.16765e-07,0.0174505
1.16884e-07,0.0178918
1.1703e-07,0.0209073
1.17152e-07,0.0241841
1.17274e-07,0.0267289
1.17407e-07,0.027276
1.17555e-07,0.0250765
1.17665e-07,0.021924
1.17759e-07,0.0187331
1.17859e-07,0.015899
1.17982e-07,0.0139874
1.18096e-07,0.0141994
1.18262e-07,0.0169838
1.1839e-07,0.0198234
1.1851e-07,0.0218371
1.18641e-07,0.0221002
1.18787e-07,0.0200625
1.18888e-07,0.0174743
1.18981e-07,0.0147153
1.19077e-07,0.0122698
1.19196e-07,0.0104746
1.19303e-07,0.010399
1.19451e-07,0.0122432
1.19671e-07,0.0163007
1.19797e-07,0.0173319
1.19924e-07,0.0165278
1.20104e-07,0.0131266
1.20296e-07,0.00851565
1.20388e-07,0.00708737
1.20491e-07,0.00660717
1.20608e-07,0.00732207
1.20695e-07,0.00855395
1.20785e-07,0.01014
1.2089e-07,0.0117316
1.21003e-07,0.0125521
1.21127e-07,0.0119889
1.21284e-07,0.00958335
1.21448e-07,0.00594374
1.21525e-07,0.00445146
1.21606e-07,0.00338364
1.21693e-07,0.00295017
1.21785e-07,0.00324791
1.21861e-07,0.00401421
