t,v
0,0.451838
5.92981e-10,0.466171
1.00479e-09,0.471251
3.24241e-09,0.453896
5.98329e-09,0.486068
8.08981e-09,0.479044
1.25088e-08,0.498098
1.68885e-08,0.511923
2.18944e-08,0.520984
2.83456e-08,0.526378
3.74871e-08,0.523234
5.08089e-08,0.494963
7.1e-08,0.408814
7.3e-08,0.372297
7.35259e-08,0.304
7.38193e-08,0.190802
7.40816e-08,0.0125833
7.43215e-08,-0.207425
7.51917e-08,-1.16774
7.53353e-08,-1.28206
7.54368e-08,-1.33948
7.55083e-08,-1.36508
7.55591e-08,-1.37476
7.55951e-08,-1.37701
7.56209e-08,-1.37605
7.56426e-08,-1.37339
7.56675e-08,-1.36829
7.56921e-08,-1.36102
7.57188e-08,-1.3503
7.57477e-08,-1.3347
7.5791e-08,-1.30362
7.58361e-08,-1.26014
7.59023e-08,-1.1758
7.59626e-08,-1.07782
7.60481e-08,-0.903284
7.70328e-08,4.33415
7.77321e-08,8.72842
7.81457e-08,10.3052
7.84019e-08,10.9189
7.90123e-08,12.1009
7.93067e-08,12.8975
8.20542e-08,25.8358
8.41338e-08,36.922
8.55788e-08,45.1332
8.68222e-08,52.1906
8.80278e-08,58.7889
8.90865e-08,64.3169
9.03614e-08,70.9653
9.16117e-08,77.3262
9.29103e-08,83.7597
9.41003e-08,89.4548
9.5303e-08,95.0339
9.65495e-08,100.604
9.79579e-08,106.626
9.94701e-08,112.794
1.00972e-07,118.566
1.02544e-07,124.183
1.04242e-07,129.815
1.0604e-07,135.317
1.07903e-07,140.408
1.09741e-07,144.906
1.11711e-07,149.067
1.1373e-07,152.672
1.15663e-07,155.484
1.17152e-07,157.224
1.18096e-07,158.134
1.18641e-07,158.594
1.19077e-07,158.925
1.19562e-07,159.263
1.19797e-07,159.409
1.20296e-07,159.692
1.20491e-07,159.794
1.20695e-07,159.895
1.2089e-07,159.982
1.21127e-07,160.078
1.21374e-07,160.17
1.21525e-07,160.223
1.21785e-07,160.307
1.2194e-07,160.351
1.22031e-07,160.375
1.22126e-07,160.397
1.22228e-07,160.42
1.22342e-07,160.443
1.22578e-07,160.486
1.22689e-07,160.504
1.22797e-07,160.52
1.22911e-07,160.535
1.22986e-07,160.544
1.23045e-07,160.55
1.23097e-07,160.555
1.23149e-07,160.559
1.23197e-07,160.563
1.23259e-07,160.566
1.23327e-07,160.57
1.23408e-07,160.573
1.23496e-07,160.575
1.2361e-07,160.575
1.23734e-07,160.575
1.23848e-07,160.572
1.23959e-07,160.568
1.24037e-07,160.564
1.24131e-07,160.559
1.24199e-07,160.554
1.24255e-07,160.549
1.24347e-07,160.54
1.24435e-07,160.53
1.2455e-07,160.514
1.24676e-07,160.495
1.24826e-07,160.468
1.24963e-07,160.441
1.25139e-07,160.404
1.25248e-07,160.378
1.25377e-07,160.346
1.25469e-07,160.322
1.25626e-07,160.276
1.25805e-07,160.219
1.26034e-07,160.138
1.26251e-07,160.055
1.26511e-07,159.948
1.26779e-07,159.827
1.27002e-07,159.717
1.27551e-07,159.414
1.27885e-07,159.211
1.28294e-07,158.938
1.29006e-07,158.406
1.29697e-07,157.821
1.3076e-07,156.794
1.31904e-07,155.514
1.34425e-07,152.092
1.37835e-07,146.228
1.436e-07,133.486
1.73736e-07,43.0138
1.79365e-07,29.123
1.84048e-07,20.8575
1.86347e-07,17.5161
1.88604e-07,14.7088
1.89862e-07,13.3434
1.91323e-07,11.9418
1.92222e-07,11.1639
1.93037e-07,10.5213
1.94057e-07,9.79839
1.94993e-07,9.20316
1.95732e-07,8.78524
1.9655e-07,8.37756
1.97294e-07,8.05449
1.98532e-07,7.60671
1.99276e-07,7.40451
2e-07,7.23888
2.00213e-07,7.20202
2.00306e-07,7.19207
2.0038e-07,7.18892
2.00452e-07,7.19079
2.00568e-07,7.20384
2.0071e-07,7.23621
2.00917e-07,7.31185
2.0114e-07,7.42002
2.01706e-07,7.72312
2.01851e-07,7.78805
2.01915e-07,7.81079
2.01948e-07,7.82029
2.02e-07,7.83217
2.0202e-07,7.83564
2.02036e-07,7.83749
2.02048e-07,7.83838
2.0206e-07,7.83873
2.02073e-07,7.83859
2.02083e-07,7.83804
2.02093e-07,7.8369
2.02112e-07,7.83295
2.02151e-07,7.81703
2.0222e-07,7.76967
2.02246e-07,7.7446
2.02273e-07,7.70841
2.02304e-07,7.65779
2.02365e-07,7.52693
2.02488e-07,7.14672
2.04534e-07,-6.84821
2.04751e-07,-7.17629
2.04961e-07,-7.02157
2.05173e-07,-6.50032
2.06356e-07,0.92534
2.06851e-07,3.58118
2.0707e-07,4.24704
2.07251e-07,4.52703
2.07491e-07,4.57725
2.07709e-07,4.31898
2.09283e-07,-1.25411
2.09532e-07,-1.74898
2.09778e-07,-1.98948
2.09993e-07,-1.98246
2.10216e-07,-1.77929
2.10417e-07,-1.45323
2.11442e-07,0.916644
2.11654e-07,1.26651
2.11885e-07,1.51724
2.12093e-07,1.6088
2.12324e-07,1.55645
2.12555e-07,1.36096
2.12803e-07,1.01964
2.13638e-07,-0.50464
2.13872e-07,-0.840728
2.14164e-07,-1.12215
2.14432e-07,-1.22647
2.14658e-07,-1.18404
2.1485e-07,-1.05224
2.15045e-07,-0.839484
2.16248e-07,1.04833
2.16421e-07,1.23805
2.1663e-07,1.39182
2.16876e-07,1.46616
2.17161e-07,1.41018
2.17482e-07,1.18683
2.17858e-07,0.782739
2.18545e-07,-0.0939722
2.18752e-07,-0.311283
2.18971e-07,-0.481002
2.19265e-07,-0.605258
2.19587e-07,-0.603692
2.19985e-07,-0.439948
2.20257e-07,-0.245882
2.20873e-07,0.317862
2.21139e-07,0.532899
2.21367e-07,0.678599
2.21601e-07,0.778985
2.21822e-07,0.818477
2.22146e-07,0.787786
2.22502e-07,0.665681
2.22823e-07,0.496278
2.2333e-07,0.187219
2.23534e-07,0.0767897
2.23735e-07,-0.0114365
2.23937e-07,-0.0738399
2.2415e-07,-0.108607
2.24366e-07,-0.109778
2.24606e-07,-0.0735978
2.24849e-07,-0.00301982
2.25098e-07,0.0955266
2.25612e-07,0.333389
2.25921e-07,0.463084
2.26182e-07,0.549869
2.26388e-07,0.595389
2.26582e-07,0.61611
2.26779e-07,0.615376
2.26987e-07,0.590879
2.27284e-07,0.523149
2.27638e-07,0.413135
2.28254e-07,0.202862
2.28481e-07,0.139163
2.28667e-07,0.100033
2.28875e-07,0.0728514
2.29064e-07,0.065089
2.29338e-07,0.0807325
2.29633e-07,0.125934
2.29967e-07,0.203955
2.30703e-07,0.404129
2.30929e-07,0.456346
2.31127e-07,0.490893
2.31328e-07,0.513021
2.31581e-07,0.521949
2.31887e-07,0.507574
2.32259e-07,0.460996
2.33099e-07,0.309493
2.33328e-07,0.271722
2.33531e-07,0.246315
2.3375e-07,0.228697
2.33959e-07,0.222861
2.34258e-07,0.231914
2.34589e-07,0.26101
2.35042e-07,0.320342
2.35543e-07,0.392283
2.35818e-07,0.427566
2.36021e-07,0.447406
2.36225e-07,0.460276
2.3643e-07,0.465879
2.36678e-07,0.462851
2.36995e-07,0.446429
2.37391e-07,0.413576
2.38091e-07,0.347033
2.38295e-07,0.331666
2.38489e-07,0.321271
2.3869e-07,0.315286
2.38893e-07,0.314626
2.39143e-07,0.321001
2.39455e-07,0.337876
2.40691e-07,0.435556
2.40882e-07,0.44597
2.4108e-07,0.453351
2.41281e-07,0.456845
2.41533e-07,0.455738
2.41841e-07,0.447607
2.43144e-07,0.384947
2.43341e-07,0.379105
2.43542e-07,0.375828
2.4376e-07,0.375721
2.44055e-07,0.380684
2.44394e-07,0.392088
2.45572e-07,0.446648
2.45772e-07,0.453096
2.45995e-07,0.458016
2.462e-07,0.460126
2.46491e-07,0.459399
2.48192e-07,0.42282
2.48622e-07,0.42143
2.50856e-07,0.469992
2.51301e-07,0.471797
2.53453e-07,0.454232
2.55751e-07,0.484872
2.57876e-07,0.479159
2.62291e-07,0.498411
2.66584e-07,0.512057
2.71611e-07,0.520971
2.7788e-07,0.526069
2.86819e-07,0.524012
2.99615e-07,0.498419
3.2101e-07,0.408643
3.23e-07,0.368208
3.2356e-07,0.288938
3.23867e-07,0.160114
3.24153e-07,-0.0489845
3.24416e-07,-0.302868
3.25e-07,-0.972596
3.25199e-07,-1.16809
3.2536e-07,-1.29189
3.25462e-07,-1.34578
3.25529e-07,-1.36639
3.25573e-07,-1.37307
3.25605e-07,-1.37404
3.25628e-07,-1.37262
3.2565e-07,-1.36958
3.25675e-07,-1.36375
3.25703e-07,-1.35486
3.25732e-07,-1.34165
3.25766e-07,-1.32135
3.25809e-07,-1.2864
3.25864e-07,-1.22574
3.25934e-07,-1.12504
3.26035e-07,-0.934259
3.26169e-07,-0.564667
3.27738e-07,8.75481
3.28153e-07,10.3234
3.28408e-07,10.9304
3.2902e-07,12.1169
3.29316e-07,12.9249
3.32115e-07,26.0965
3.34116e-07,36.8187
3.35566e-07,45.0574
3.36825e-07,52.1904
3.38028e-07,58.772
3.39085e-07,64.284
3.40359e-07,70.9283
3.41604e-07,77.264
3.42865e-07,83.5039
3.44095e-07,89.4045
3.45297e-07,94.979
3.46524e-07,100.465
3.47907e-07,106.38
3.49388e-07,112.424
3.50885e-07,118.205
3.52426e-07,123.751
3.5416e-07,129.514
3.55919e-07,134.929
3.57808e-07,140.124
3.59638e-07,144.629
3.61613e-07,148.832
3.63597e-07,152.418
3.65544e-07,155.284
3.66539e-07,156.503
3.67557e-07,157.585
3.68511e-07,158.446
3.69436e-07,159.135
3.69645e-07,159.272
3.7015e-07,159.568
3.70533e-07,159.771
3.70784e-07,159.891
3.71004e-07,159.985
3.71283e-07,160.093
3.71605e-07,160.206
3.71783e-07,160.262
3.7186e-07,160.285
3.71939e-07,160.306
3.72029e-07,160.33
3.72124e-07,160.352
3.72226e-07,160.375
3.7234e-07,160.398
3.72493e-07,160.427
3.72631e-07,160.45
3.72739e-07,160.467
3.72848e-07,160.482
3.72987e-07,160.499
3.73048e-07,160.506
3.731e-07,160.511
3.73153e-07,160.515
3.73201e-07,160.518
3.73264e-07,160.522
3.73332e-07,160.525
3.73414e-07,160.528
3.73503e-07,160.53
3.7362e-07,160.531
3.73686e-07,160.53
3.73801e-07,160.529
3.73913e-07,160.525
3.73971e-07,160.523
3.74052e-07,160.519
3.74152e-07,160.513
3.74213e-07,160.508
3.74317e-07,160.499
3.7436e-07,160.494
3.74449e-07,160.483
3.74505e-07,160.476
3.74633e-07,160.457
3.74789e-07,160.43
3.74942e-07,160.401
3.75112e-07,160.365
3.75211e-07,160.343
3.75335e-07,160.312
3.7548e-07,160.274
3.75569e-07,160.249
3.75728e-07,160.199
3.75918e-07,160.135
3.76189e-07,160.035
3.76437e-07,159.935
3.76743e-07,159.799
3.76963e-07,159.692
3.77235e-07,159.549
3.77815e-07,159.21
3.78171e-07,158.979
3.78827e-07,158.502
3.79523e-07,157.931
3.8039e-07,157.124
3.81257e-07,156.215
3.83427e-07,153.501
3.8651e-07,148.625
3.91631e-07,138.16
4.22255e-07,47.1289
4.29251e-07,29.3489
4.34644e-07,19.9513
4.37173e-07,16.4431
4.39565e-07,13.6597
4.41635e-07,11.6713
4.4254e-07,10.9123
4.43298e-07,10.3343
4.44306e-07,9.64154
4.45162e-07,9.11317
