t,v
1.12435e-9,1.95620e+1
2.99586e-9,2.40587e+1
4.49307e-9,3.00543e+1
5.61598e-9,3.70492e+1
6.73889e-9,4.47936e+1
7.48749e-9,5.10390e+1
8.23609e-9,5.90331e+1
8.98470e-9,6.65277e+1
9.73330e-9,7.27731e+1
1.01076e-8,8.30156e+1
1.01076e-8,7.80192e+1
1.12305e-8,8.92610e+1
1.19791e-8,9.65057e+1
1.27277e-8,1.03001e+2
1.34763e-8,1.10495e+2
1.42249e-8,1.16991e+2
1.49735e-8,1.24485e+2
1.57221e-8,1.30980e+2
1.64707e-8,1.38475e+2
1.72194e-8,1.44970e+2
1.75937e-8,1.50966e+2
1.87166e-8,1.57211e+2
1.90909e-8,1.62957e+2
2.02138e-8,1.69203e+2
2.09624e-8,1.76447e+2
2.13367e-8,1.80944e+2
2.24596e-8,1.86690e+2
2.28339e-8,1.90937e+2
2.39568e-8,1.97432e+2
2.54540e-8,2.04926e+2
2.69512e-8,2.09923e+2
2.84484e-8,2.17417e+2
3.10685e-8,2.24612e+2
3.48116e-8,2.26411e+2
3.74317e-8,2.21914e+2
3.89289e-8,2.15918e+2
4.04261e-8,2.10922e+2
4.19233e-8,2.05426e+2
4.30462e-8,1.99430e+2
4.41691e-8,1.94684e+2
4.49177e-8,1.88438e+2
4.56663e-8,1.83192e+2
4.67892e-8,1.76947e+2
4.75378e-8,1.71451e+2
4.82864e-8,1.64956e+2
4.90351e-8,1.57461e+2
4.97837e-8,1.50966e+2
5.05323e-8,1.45470e+2
5.12809e-8,1.40973e+2
5.12809e-8,1.35977e+2
5.20295e-8,1.31480e+2
5.27781e-8,1.24985e+2
5.35267e-8,1.17490e+2
5.42753e-8,1.10995e+2
5.50239e-8,1.03501e+2
5.57725e-8,9.70054e+1
5.65211e-8,8.90112e+1
5.72697e-8,8.15167e+1
5.80183e-8,7.50214e+1
5.87669e-8,6.70273e+1
5.95155e-8,5.95328e+1
6.02641e-8,5.55357e+1
6.10127e-8,5.10390e+1
6.10127e-8,4.60426e+1
6.17613e-8,4.15459e+1
6.25099e-8,3.55503e+1
6.32585e-8,2.95547e+1
6.40071e-8,2.35591e+1
6.58787e-8,1.95620e+1
6.81245e-8,1.40660e+1
7.03703e-8,8.81988e+0
7.29904e-8,3.24063e+0
7.59848e-8,-2.02219e+0
7.97278e-8,-4.22058e+0
8.34709e-8,-3.42116e+0
8.72139e-8,-3.42116e+0
9.09569e-8,-3.02145e+0
9.46999e-8,-3.02145e+0
9.84430e-8,-3.02145e+0
1.02186e-7,-3.42116e+0
1.05929e-7,-3.42116e+0
1.09672e-7,-3.42116e+0
1.13415e-7,-3.02145e+0
1.17158e-7,-3.42116e+0
1.20901e-7,-3.02145e+0
1.24644e-7,-3.02145e+0
1.28387e-7,-3.42116e+0
1.32130e-7,-3.02145e+0
1.35873e-7,-3.42116e+0
1.39616e-7,-3.02145e+0
1.43359e-7,-2.62175e+0
1.47102e-7,-3.42116e+0
1.50845e-7,-3.42116e+0
1.54588e-7,-3.02145e+0
1.58331e-7,-3.42116e+0
1.62074e-7,-3.42116e+0
1.65318e-7,9.09003e-1
1.67502e-7,4.94771e+0
1.69935e-7,1.06935e+1
1.72181e-7,1.60646e+1
1.73678e-7,2.15606e+1
1.75549e-7,2.68900e+1
1.77296e-7,3.30521e+1
1.77795e-7,3.90478e+1
1.78544e-7,4.35445e+1
1.79292e-7,5.30375e+1
1.79292e-7,4.80412e+1
1.80415e-7,5.92830e+1
1.81164e-7,6.65277e+1
1.81912e-7,7.30229e+1
1.82661e-7,8.05174e+1
1.83410e-7,8.70127e+1
1.84158e-7,9.45072e+1
1.84907e-7,1.01002e+2
1.85655e-7,1.08997e+2
1.86404e-7,1.16491e+2
1.87153e-7,1.22986e+2
1.87527e-7,1.28982e+2
1.88650e-7,1.34728e+2
1.89398e-7,1.40973e+2
1.90147e-7,1.48468e+2
1.90896e-7,1.54963e+2
1.91644e-7,1.62457e+2
1.92393e-7,1.68453e+2
1.92767e-7,1.72950e+2
1.93890e-7,1.79445e+2
1.95387e-7,1.86690e+2
1.95762e-7,1.90937e+2
1.96884e-7,1.97432e+2
1.98382e-7,2.04926e+2
1.99879e-7,2.09923e+2
2.01750e-7,2.15752e+2
2.04745e-7,2.20215e+2
2.08488e-7,2.19016e+2
2.11108e-7,2.12671e+2
2.12231e-7,2.06259e+2
2.14102e-7,1.99930e+2
2.15600e-7,1.94684e+2
2.16348e-7,1.88438e+2
2.17097e-7,1.82443e+2
2.17845e-7,1.77197e+2
2.18968e-7,1.70951e+2
2.19717e-7,1.65455e+2
2.20466e-7,1.58960e+2
2.21214e-7,1.53464e+2
2.21963e-7,1.47468e+2
2.22711e-7,1.40973e+2
2.23460e-7,1.33479e+2
2.24209e-7,1.26983e+2
2.24957e-7,1.19489e+2
2.25706e-7,1.12994e+2
2.26454e-7,1.05499e+2
2.27203e-7,1.01502e+2
2.27952e-7,9.50068e+1
2.28700e-7,8.70127e+1
2.29449e-7,8.10170e+1
2.29449e-7,7.60207e+1
2.30197e-7,7.15240e+1
2.30946e-7,6.55284e+1
2.31695e-7,5.90331e+1
2.32443e-7,5.15386e+1
2.33192e-7,4.55430e+1
2.33940e-7,3.90478e+1
2.35063e-7,3.28023e+1
2.35812e-7,2.53078e+1
2.38058e-7,1.95620e+1
2.40304e-7,1.40660e+1
2.42549e-7,8.81988e+0
2.45544e-7,3.57372e+0
2.48538e-7,-2.17208e+0
2.51907e-7,-4.22058e+0
2.55650e-7,-3.02145e+0
2.59393e-7,-3.42116e+0
2.63136e-7,-3.02145e+0
2.66879e-7,-3.42116e+0
2.70622e-7,-3.02145e+0
2.74365e-7,-3.02145e+0
2.78108e-7,-3.02145e+0
2.81851e-7,-3.42116e+0
2.85594e-7,-3.02145e+0
2.89337e-7,-3.42116e+0
2.93080e-7,-3.42116e+0
2.96823e-7,-3.42116e+0
3.00566e-7,-2.62175e+0
3.04309e-7,-3.42116e+0
3.08052e-7,-3.02145e+0
3.11795e-7,-2.62175e+0
3.15538e-7,-3.02145e+0
3.19281e-7,-3.42116e+0
3.23024e-7,-3.02145e+0
3.26767e-7,-3.42116e+0
3.30510e-7,-3.02145e+0
3.33879e-7,-2.92153e+0
3.37248e-7,3.17401e+0
3.39868e-7,8.07043e+0
3.41740e-7,1.32333e+1
3.43985e-7,1.95620e+1
3.46044e-7,2.54327e+1
3.47354e-7,3.28023e+1
3.48477e-7,3.75489e+1
3.49600e-7,4.47936e+1
3.50348e-7,5.10390e+1
3.51097e-7,5.90331e+1
3.51846e-7,6.65277e+1
3.52594e-7,7.30229e+1
3.53343e-7,8.10170e+1
3.54091e-7,8.85116e+1
3.54840e-7,9.45072e+1
3.55589e-7,1.01002e+2
3.56337e-7,1.08997e+2
3.57086e-7,1.16991e+2
3.57835e-7,1.24485e+2
3.58583e-7,1.30980e+2
3.59332e-7,1.38475e+2
3.59706e-7,1.42972e+2
3.60829e-7,1.48718e+2
3.61578e-7,1.54963e+2
3.62326e-7,1.62457e+2
3.63075e-7,1.68453e+2
3.63449e-7,1.72950e+2
3.64572e-7,1.78696e+2
3.65321e-7,1.84441e+2
3.66069e-7,1.90687e+2
3.67442e-7,1.97099e+2
3.69064e-7,2.05426e+2
3.70561e-7,2.12921e+2
3.73181e-7,2.18616e+2
3.76924e-7,2.22414e+2
3.79918e-7,2.18083e+2
3.81790e-7,2.13420e+2
3.83287e-7,2.07924e+2
3.84784e-7,2.02678e+2
3.85533e-7,1.97182e+2
3.86656e-7,1.91436e+2
3.87779e-7,1.85441e+2
3.88902e-7,1.77446e+2
3.89650e-7,1.71451e+2
3.90399e-7,1.65455e+2
3.91147e-7,1.58960e+2
3.91896e-7,1.53464e+2
3.92645e-7,1.47468e+2
3.93393e-7,1.41473e+2
3.94142e-7,1.34978e+2
3.94890e-7,1.27483e+2
3.95639e-7,1.20988e+2
3.96388e-7,1.15492e+2
3.97136e-7,1.10995e+2
3.97136e-7,1.05999e+2
3.97885e-7,9.90039e+1
3.98633e-7,9.35079e+1
3.99382e-7,8.75123e+1
4.00131e-7,8.10170e+1
4.00879e-7,7.35225e+1
4.01628e-7,6.70273e+1
4.02376e-7,5.95328e+1
4.03125e-7,5.30375e+1
4.03874e-7,4.55430e+1
4.04622e-7,4.15459e+1
4.05371e-7,3.55503e+1
4.06120e-7,2.95547e+1
4.07242e-7,2.48082e+1
4.08365e-7,1.97286e+1
4.10985e-7,1.40660e+1
4.13606e-7,8.23697e+0
4.16226e-7,3.57372e+0
4.19220e-7,-1.67244e+0
4.22589e-7,-5.01999e+0
4.26332e-7,-3.02145e+0
4.30075e-7,-3.02145e+0
4.33818e-7,-3.42116e+0
4.37561e-7,-3.02145e+0
4.41304e-7,-3.42116e+0
4.45047e-7,-3.02145e+0
4.48041e-7,-3.42116e+0
