t,v
1.78051e-9, -6.06134e+0
4.11432e-9, -4.23100e+0
6.78167e-9, -1.90138e+0
9.28183e-9, -4.87248e-1
1.02834e-8, 2.50874e+0
1.27845e-8, 5.42102e+0
1.52851e-8, 7.50100e+0
1.62867e-8, 1.04970e+1
1.82875e-8, 1.27436e+1
1.97887e-8, 1.52400e+1
2.02906e-8, 1.84859e+1
2.27917e-8, 2.13981e+1
2.47935e-8, 2.52261e+1
2.62957e-8, 2.94704e+1
2.72978e-8, 3.32155e+1
2.77995e-8, 3.62116e+1
2.88011e-8, 3.92076e+1
2.88030e-8, 4.22039e+1
2.98046e-8, 4.51999e+1
2.98065e-8, 4.81962e+1
3.08081e-8, 5.11922e+1
3.08099e-8, 5.41885e+1
3.18112e-8, 5.66851e+1
3.18128e-8, 5.91820e+1
3.18147e-8, 6.21783e+1
3.28160e-8, 6.46749e+1
3.28175e-8, 6.71718e+1
3.33199e-8, 7.11667e+1
3.38216e-8, 7.41629e+1
3.48232e-8, 7.71588e+1
3.48251e-8, 8.01551e+1
3.58264e-8, 8.26517e+1
3.58280e-8, 8.51487e+1
3.58298e-8, 8.81450e+1
3.68311e-8, 9.06416e+1
3.68327e-8, 9.31385e+1
3.68346e-8, 9.61348e+1
3.78362e-8, 9.91308e+1
3.78380e-8, 1.02127e+2
3.88396e-8, 1.05123e+2
3.88415e-8, 1.08119e+2
3.98428e-8, 1.10616e+2
3.98444e-8, 1.13113e+2
3.98463e-8, 1.16109e+2
4.08478e-8, 1.19105e+2
4.08497e-8, 1.22101e+2
4.18510e-8, 1.24598e+2
4.18526e-8, 1.27095e+2
4.18545e-8, 1.30091e+2
4.28557e-8, 1.32588e+2
4.28573e-8, 1.35085e+2
4.28592e-8, 1.38081e+2
4.38608e-8, 1.41077e+2
4.38627e-8, 1.44073e+2
4.48639e-8, 1.46570e+2
4.48655e-8, 1.49067e+2
4.53679e-8, 1.53062e+2
4.58696e-8, 1.56058e+2
4.68712e-8, 1.59054e+2
4.68731e-8, 1.62050e+2
4.78747e-8, 1.65046e+2
4.78766e-8, 1.68042e+2
4.88782e-8, 1.71038e+2
4.88800e-8, 1.74035e+2
4.98813e-8, 1.76531e+2
4.98829e-8, 1.79028e+2
4.98848e-8, 1.82025e+2
5.08861e-8, 1.84521e+2
5.18873e-8, 1.87018e+2
5.18892e-8, 1.90014e+2
5.28908e-8, 1.93010e+2
5.28927e-8, 1.96006e+2
5.38940e-8, 1.98503e+2
5.48953e-8, 2.01000e+2
5.48971e-8, 2.03996e+2
5.63989e-8, 2.07491e+2
5.79007e-8, 2.10986e+2
5.89026e-8, 2.14482e+2
5.99038e-8, 2.16978e+2
6.04057e-8, 2.20224e+2
6.29067e-8, 2.22970e+2
6.44083e-8, 2.26215e+2
6.69090e-8, 2.28462e+2
6.94077e-8, 2.27462e+2
7.12375e-8, 2.22801e+2
7.29022e-8, 2.20470e+2
7.38998e-8, 2.16974e+2
7.53971e-8, 2.13478e+2
7.68939e-8, 2.08983e+2
7.83912e-8, 2.05487e+2
7.98867e-8, 1.98994e+2
7.98886e-8, 2.01991e+2
8.08826e-8, 1.93001e+2
8.08845e-8, 1.95998e+2
8.18808e-8, 1.90504e+2
8.28770e-8, 1.85011e+2
8.28789e-8, 1.88007e+2
8.38730e-8, 1.79018e+2
8.38749e-8, 1.82014e+2
8.48702e-8, 1.75022e+2
8.58661e-8, 1.69029e+2
8.58680e-8, 1.72026e+2
8.68621e-8, 1.63036e+2
8.68639e-8, 1.66033e+2
8.78564e-8, 1.54547e+2
8.78580e-8, 1.57044e+2
8.78599e-8, 1.60040e+2
8.88527e-8, 1.49053e+2
8.88546e-8, 1.52049e+2
8.98499e-8, 1.45058e+2
9.08433e-8, 1.35070e+2
9.08458e-8, 1.39065e+2
9.08477e-8, 1.42061e+2
9.18405e-8, 1.31074e+2
9.28349e-8, 1.22584e+2
9.28364e-8, 1.25081e+2
