t,v
1.00115e-9,1.27203e+1
3.00128e-9,1.26038e+1
4.00279e-9,1.22709e+1
6.33408e-9,1.25537e+1
8.99854e-9,1.28532e+1
1.14990e-8,1.26535e+1
1.33338e-8,1.22873e+1
1.60010e-8,1.20709e+1
1.89996e-8,1.22040e+1
2.14990e-8,1.22039e+1
2.19967e-8,1.26033e+1
2.39946e-8,1.29194e+1
2.69928e-8,1.31190e+1
2.99932e-8,1.29192e+1
3.29939e-8,1.26529e+1
3.49952e-8,1.23034e+1
3.64962e-8,1.20537e+1
3.79945e-8,1.23033e+1
3.89925e-8,1.26361e+1
4.19917e-8,1.26527e+1
4.49906e-8,1.27191e+1
4.79899e-8,1.27191e+1
4.99898e-8,1.26524e+1
5.13247e-8,1.22863e+1
5.29922e-8,1.20533e+1
5.39907e-8,1.23029e+1
5.49887e-8,1.26357e+1
5.79872e-8,1.27854e+1
6.09861e-8,1.28518e+1
6.39854e-8,1.28518e+1
6.59849e-8,1.28517e+1
6.69860e-8,1.26021e+1
6.74876e-8,1.22776e+1
6.99875e-8,1.21860e+1
7.27348e-8,1.25770e+1
7.54850e-8,1.24022e+1
7.79824e-8,1.27848e+1
8.09810e-8,1.29179e+1
8.34818e-8,1.26516e+1
8.54826e-8,1.24019e+1
8.79808e-8,1.26265e+1
8.83156e-8,1.23353e+1
9.09801e-8,1.26264e+1
9.13149e-8,1.23352e+1
9.39786e-8,1.27844e+1
9.69775e-8,1.28509e+1
9.94780e-8,1.26511e+1
1.01479e-7,1.24015e+1
1.03977e-7,1.26261e+1
1.04978e-7,1.23215e+1
1.07978e-7,1.23015e+1
1.09976e-7,1.25510e+1
1.10978e-7,1.21017e+1
1.10979e-7,1.18521e+1
1.11990e-7,9.80523e+0
1.12993e-7,9.20613e+0
1.14015e-7,4.91276e+0
1.15031e-7,1.81753e+0
1.16050e-7,-1.87678e+0
1.17054e-7,-2.72549e+0
1.17553e-7,-2.52581e+0
1.18301e-7,-2.17637e+0
1.20048e-7,-1.67719e+0
1.20546e-7,-1.27782e+0
1.21544e-7,-8.78468e-1
1.23292e-7,-5.66497e-1
1.26038e-7,3.38166e-3
1.28037e-7,6.98929e-2
1.29039e-7,-2.79592e-1
1.31040e-7,-6.62385e-1
1.33040e-7,-7.29000e-1
1.34039e-7,-4.79413e-1
1.35037e-7,-2.79749e-1
1.37536e-7,-1.30046e-1
1.39787e-7,-4.04680e-1
1.42535e-7,-2.30022e-1
1.45033e-7,6.94482e-2
1.47784e-7,-2.67602e-1
1.49035e-7,-5.79651e-1
1.50533e-7,-2.30232e-1
1.52030e-7,3.18878e-1
1.52031e-7,6.92651e-2
1.52528e-7,7.18247e-1
1.53526e-7,9.42872e-1
1.55028e-7,6.18336e-1
1.55029e-7,3.18800e-1
1.55031e-7,1.92640e-2
1.55032e-7,-2.80272e-1
1.57034e-7,-6.79706e-1
1.57035e-7,-9.29319e-1
1.57036e-7,-1.12901e+0
1.60033e-7,-6.63143e-1
1.62032e-7,-5.30068e-1
1.62529e-7,-5.58162e-2
1.63031e-7,-3.05443e-1
1.65032e-7,-5.80070e-1
1.65533e-7,-9.04580e-1
1.67534e-7,-1.05440e+0
1.68531e-7,-6.80006e-1
1.69030e-7,-3.80484e-1
1.70028e-7,-8.09737e-2
1.70526e-7,3.18394e-1
1.72024e-7,5.67969e-1
1.73026e-7,1.18638e-1
1.74027e-7,-1.80924e-1
1.74029e-7,-4.80460e-1
1.75781e-7,-8.54925e-1
1.78029e-7,-6.80255e-1
1.79027e-7,-3.30822e-1
1.80025e-7,-8.12353e-2
1.81024e-7,1.84993e-1
1.84025e-7,-2.64390e-1
1.87024e-7,-1.81264e-1
1.89022e-7,1.84783e-1
1.91024e-7,-2.81214e-1
1.92025e-7,-5.30853e-1
1.93027e-7,-8.80338e-1
1.95027e-7,-1.08008e+0
1.96025e-7,-7.80571e-1
1.97024e-7,-5.30984e-1
1.98022e-7,-2.81397e-1
1.98520e-7,4.30874e-2
2.01019e-7,1.34547e-1
2.03022e-7,-4.81218e-1
2.04021e-7,-2.81554e-1
2.07019e-7,-1.31864e-1
2.09021e-7,-4.81375e-1
2.11022e-7,-8.30886e-1
2.11023e-7,-1.08050e+0
2.13520e-7,-6.56222e-1
