t,v
0,0
3.10133e-09,-0.0491283
3.70604e-09,-0.0966958
4.0012e-09,-0.132577
4.57696e-09,-0.228124
5.36168e-09,-0.39955
6.28198e-09,-0.64674
6.62144e-09,-0.754031
7.06012e-09,-0.907928
8.10265e-09,-1.3395
9.00876e-09,-1.76925
9.57264e-09,-2.06575
1.00752e-08,-2.35306
1.06596e-08,-2.71335
1.18522e-08,-3.51726
1.27853e-08,-4.21666
1.37255e-08,-4.99158
1.47524e-08,-5.90441
1.57463e-08,-6.85916
1.78517e-08,-9.11411
1.99318e-08,-11.642
2.20712e-08,-14.5423
2.42572e-08,-17.814
2.63879e-08,-21.2946
3.06097e-08,-28.9944
3.51439e-08,-38.3664
3.97287e-08,-48.8784
4.89062e-08,-72.4543
8.61555e-08,-176.502
9.17929e-08,-189.543
9.69854e-08,-200.163
9.95204e-08,-204.804
1.02169e-07,-209.241
1.04835e-07,-213.264
1.07461e-07,-216.77
1.09909e-07,-219.619
1.11213e-07,-220.968
1.12606e-07,-222.275
1.13946e-07,-223.401
1.14738e-07,-224.006
1.15267e-07,-224.386
1.16042e-07,-224.903
1.16705e-07,-225.312
1.17311e-07,-225.656
1.17994e-07,-226.012
1.18627e-07,-226.311
1.19176e-07,-226.547
1.1995e-07,-226.841
1.20774e-07,-227.105
1.21368e-07,-227.263
1.21831e-07,-227.368
1.22592e-07,-227.507
1.23247e-07,-227.591
1.23591e-07,-227.622
1.24233e-07,-227.656
1.24784e-07,-227.663
1.25385e-07,-227.643
1.26074e-07,-227.589
1.26694e-07,-227.507
1.2704e-07,-227.448
1.27428e-07,-227.37
1.28022e-07,-227.225
1.28524e-07,-227.079
1.29098e-07,-226.882
1.29432e-07,-226.754
1.30009e-07,-226.506
1.30657e-07,-226.186
1.30908e-07,-226.051
1.31481e-07,-225.715
1.31861e-07,-225.472
1.32601e-07,-224.95
1.33197e-07,-224.477
1.33998e-07,-223.766
1.3454e-07,-223.232
1.35401e-07,-222.289
1.36066e-07,-221.476
1.36716e-07,-220.607
1.37817e-07,-218.951
1.39095e-07,-216.72
1.40654e-07,-213.506
1.42269e-07,-209.549
1.43973e-07,-204.624
1.45558e-07,-199.287
1.47449e-07,-191.91
1.5153e-07,-171.862
1.56906e-07,-136.321
2.23673e-07,685.414
2.28499e-07,713.372
2.30215e-07,720.38
2.3196e-07,725.839
2.32578e-07,727.376
2.33419e-07,729.126
2.33809e-07,729.81
2.34131e-07,730.311
2.34361e-07,730.634
2.3459e-07,730.926
2.34761e-07,731.124
2.34906e-07,731.281
2.35071e-07,731.444
2.35189e-07,731.549
2.35354e-07,731.686
2.35527e-07,731.813
2.35733e-07,731.942
2.35948e-07,732.053
2.36194e-07,732.149
2.36424e-07,732.212
2.36582e-07,732.239
2.36717e-07,732.249
2.36855e-07,732.248
2.37024e-07,732.232
2.37224e-07,732.192
2.37461e-07,732.119
2.37652e-07,732.04
2.37802e-07,731.963
2.37945e-07,731.877
2.38087e-07,731.78
2.38233e-07,731.669
2.38358e-07,731.566
2.38484e-07,731.451
2.38717e-07,731.218
2.38921e-07,730.989
2.3918e-07,730.664
2.39469e-07,730.259
2.39705e-07,729.895
2.403e-07,728.838
2.40939e-07,727.487
2.4214e-07,724.338
2.4441e-07,716.242
2.4688e-07,704.265
2.50237e-07,682.783
2.56025e-07,632.114
2.85436e-07,159.282
3.27679e-07,-689.037
3.4359e-07,-886.022
3.49024e-07,-925.483
3.51816e-07,-939.712
3.53198e-07,-945.205
3.54607e-07,-949.735
